sampid,type,subgroup_category,benchmark_category,benchmark_source,response_rate,n,phat,p0,v0
Opt-in 1,nonprob,18-29,Food allergy,2010 NHANES,0,1170,0.246207486,0.085052307,6.26E-05
Opt-in 2,nonprob,18-29,Food allergy,2010 NHANES,0,1031,0.217706311,0.085052307,6.26E-05
Opt-in 3,nonprob,18-29,Food allergy,2010 NHANES,0,693,0.225962614,0.085052307,6.26E-05
Probability 1,prob,18-29,Food allergy,2010 NHANES,1.4,585,0.14897625,0.085052307,6.26E-05
Probability 2,prob,18-29,Food allergy,2010 NHANES,3,655,0.126690867,0.085052307,6.26E-05
Probability 3,prob,18-29,Food allergy,2010 NHANES,7,363,0.164977064,0.085052307,6.26E-05
Opt-in 1,nonprob,30-64,Food allergy,2010 NHANES,0,2637,0.157743215,0.095614346,3.30E-05
Opt-in 2,nonprob,30-64,Food allergy,2010 NHANES,0,2564,0.158928878,0.095614346,3.30E-05
Opt-in 3,nonprob,30-64,Food allergy,2010 NHANES,0,3087,0.13201634,0.095614346,3.30E-05
Probability 1,prob,30-64,Food allergy,2010 NHANES,1.4,3010,0.118971631,0.095614346,3.30E-05
Probability 2,prob,30-64,Food allergy,2010 NHANES,3,3192,0.132452972,0.095614346,3.30E-05
Probability 3,prob,30-64,Food allergy,2010 NHANES,7,3195,0.123694514,0.095614346,3.30E-05
Opt-in 1,nonprob,65+,Food allergy,2010 NHANES,0,1105,0.096136932,0.098615376,8.12E-05
Opt-in 2,nonprob,65+,Food allergy,2010 NHANES,0,1336,0.096804065,0.098615376,8.12E-05
Opt-in 3,nonprob,65+,Food allergy,2010 NHANES,0,1175,0.104157028,0.098615376,8.12E-05
Probability 1,prob,65+,Food allergy,2010 NHANES,1.4,1432,0.108600141,0.098615376,8.12E-05
Probability 2,prob,65+,Food allergy,2010 NHANES,3,1261,0.118212294,0.098615376,8.12E-05
Probability 3,prob,65+,Food allergy,2010 NHANES,7,1400,0.111152117,0.098615376,8.12E-05
Opt-in 1,nonprob,College grad,Food allergy,2010 NHANES,0,1598,0.201096751,0.10653299,0.000125748
Opt-in 2,nonprob,College grad,Food allergy,2010 NHANES,0,1953,0.175028725,0.10653299,0.000125748
Opt-in 3,nonprob,College grad,Food allergy,2010 NHANES,0,1799,0.122925325,0.10653299,0.000125748
Probability 1,prob,College grad,Food allergy,2010 NHANES,1.4,1867,0.134675554,0.10653299,0.000125748
Probability 2,prob,College grad,Food allergy,2010 NHANES,3,2147,0.138504848,0.10653299,0.000125748
Probability 3,prob,College grad,Food allergy,2010 NHANES,7,2166,0.143314585,0.10653299,0.000125748
Opt-in 1,nonprob,HS or less,Food allergy,2010 NHANES,0,1756,0.124037375,0.071872781,3.47E-05
Opt-in 2,nonprob,HS or less,Food allergy,2010 NHANES,0,1439,0.145767467,0.071872781,3.47E-05
Opt-in 3,nonprob,HS or less,Food allergy,2010 NHANES,0,1511,0.152969096,0.071872781,3.47E-05
Probability 1,prob,HS or less,Food allergy,2010 NHANES,1.4,1617,0.103964222,0.071872781,3.47E-05
